Clubes,Atlético GO,Atlético,Athletico,Bahia,Botafogo,Corinthians,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Média da Liga,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Folha do futebol / Receita Operacional,0.41818181818181815,0.5167464114832536,0.30444444444444446,1.0769230769230769,0.0,0.3410565338276182,0.5674157303370787,0.5797101449275363,0.4496578690127077,0.423605497170574,0.5612708018154312,0.6163793103448276,0.44671163575042155,1.1571428571428573,0.5333333333333333,0.372150849564857,0.5869565217391305,0.5193905817174516,0.5165562913907285,0.5548685393948415,,,,,
Folha futebol + Compra jogadores / Rec Operacional,0.5181818181818182,0.8644338118022329,0.5311111111111111,2.043956043956044,0.0,0.5338276181649676,0.6769662921348315,1.5420289855072464,0.4496578690127077,0.7590945836701698,0.6717095310136157,0.6163793103448276,0.6659359190556492,1.1857142857142857,0.9019607843137255,0.6589307915457936,0.605072463768116,0.6731301939058172,0.5165562913907285,0.800813761366316,,,,,
Despesas c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,69.0,,,,,
Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,69.0,,,,,
Receita com Venda de Direitos Econômicos / Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3768115942028984,0.0,0.0,0.0,6.3768115942028984,,,,,
Receita c/ Pay-per-View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3768115942028984,0.0,0.0,0.0,6.3768115942028984,,,,,
Despesas Administrativas / Folha do Futebol,0.2826086956521739,0.1419753086419753,1.0072992700729928,0.12585034013605442,0.0,0.28804347826086957,0.8514851485148515,0.0,0.15217391304347827,0.21564885496183206,0.14016172506738545,0.27972027972027974,0.33975084937712347,0.04938271604938271,0.27941176470588236,0.3986636971046771,0.13580246913580246,0.224,0.44017094017094016,0.314832320624453,,,,,
ST + Match-Day,14.0,113.0,85.0,83.0,0.0,165.0,48.0,83.0,14.6,244.0,99.0,65.0,111.0,23.0,105.0,127.0,10.0,160.0,84.0,90.75555555555555,,,,,
Folha do Futebol + Compra de Jogadores,53.0,542.0,239.0,590.0,0.0,576.0,120.5,532.0,92.0,906.0,444.0,143.0,394.9,82.3,469.0,661.0,83.6,486.0,234.0,369.35,,,,,
Resultado Financeiro,2.0,219.0,-29.0,3.0,0.0,389.0,-6.0,-24.0,3.0,-46.0,69.0,5.0,-61.0,-1.0,-64.0,-77.0,2.0,-93.0,47.0,18.77777777777778,,,,,
