0,Atlético GO,0.1,0.2,Atlético,0.3,0.4,Athletico,0.5,0.6,Bahia,0.7,0.8,Botafogo,0.9,0.10,Corinthians,0.11,0.12,Vitória,0.13,0.14,Cruzeiro,0.15,0.16,Cuiabá,0.17,0.18,Flamengo,0.19,0.20,Fluminense,0.21,0.22,Fortaleza,0.23,0.24,Grêmio,0.25,0.26,Criciúma,0.27,0.28,Internacional,0.29,0.30,Palmeiras,0.31,0.32,Juventude,0.33,0.34,São Paulo,0.35,0.36,Vasco da Gama,0.37,0.38
Bilheteria média (R$ mil/jogo),493.0,0.0,0.0,1645.0,1724.4535,1220.5734462617538,1101.0,1024.1891,588.7716258947369,1189.0,1246.4287,0.0,1271.0,1329.6857894736843,0.0,2384.0,2499.1472,0.0,704.0,0.0,0.0,1436.0,1505.3588,0.0,782.0,631.578947368421,0.0,3135.0,3837.8263,2753.3731916842107,1363.0,1428.8329,0.0,564.0,591.2412,0.0,2001.0,2001.0,0.0,266.0,0.0,0.0,1226.0,1285.2158,0.0,2605.0,2532.6928,2620.6109623157895,474.0,0.0,0.0,2515.0,2636.4745,1471.929064736842,1435.0,1504.3105,0.0
Público Médio (pagantes),7168.0,0.0,0.0,27989.0,27989.0,25578.0,30314.0,22283.0,18685.0,36461.0,36461.0,0.0,26691.0,26691.0,5938.0,38433.0,38433.0,0.0,21466.0,0.0,0.0,29307.0,29307.0,0.0,14701.0,14701.0,0.0,51084.0,54499.0,51757.0,29783.0,29783.0,0.0,32787.0,32787.0,0.0,31385.0,31385.0,0.0,7698.0,0.0,0.0,27325.0,27325.0,0.0,31328.0,33167.0,35943.0,8671.0,0.0,0.0,43780.0,43780.0,30132.0,26347.0,26347.0,0.0
Receita Operacional / Base de Torcedores,500.0,0.0,0.0,66.0,37.07671578947368,49.20636406395552,136.36363636363637,163.09006666666667,115.98766046666668,34.55696202531645,28.79507594936709,13.882676708860759,0.0,84.57875,35.3945153,34.583333333333336,28.156262820512822,16.53935189046124,45.64102564102564,0.0,0.0,25.746268656716417,17.60205223880597,11.949462176119402,90.0,828.157,127.48921598388475,25.717255717255718,28.681139293139292,25.35478967817048,88.13333333333334,63.177546666666665,29.626065428636075,89.23076923076923,97.97573076923076,35.95849681596749,58.71287128712871,41.98019801980198,28.514851485148515,175.0,0.0,0.0,66.23376623376623,50.91742857142857,40.998387329387796,71.3905325443787,52.042822485207104,51.33222395621302,687.5,0.0,0.0,33.11926605504587,32.170307339449536,17.989959267276006,33.30882352941177,26.592904411764707,14.552340479953232
Receita com Venda de Direitos Econômicos / Gastos com a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receita com Venda de Direitos Econômicos / Pontuação Série A,0.23333333333333334,0.0,0.0,3.893617021276596,2.0062293103448274,2.226002183845607,4.9523809523809526,4.35586724137931,2.3568059034042554,0.6792452830188679,0.0,0.5356130386046511,0.0,1.641677358490566,0.11477422255813954,6.035714285714286,4.04805076923077,4.097867656624866,0.036170212765957444,0.0,0.0,1.4423076923076923,0.0,0.0,3.8,0.0,0.0,1.5285714285714285,5.123143548387097,2.054440622253521,5.826086956521739,0.2396114285714286,1.319764140619925,0.0,0.6480400000000001,0.25200024722780456,2.3555555555555556,0.7352941176470589,0.0,0.05263157894736842,0.0,0.0,2.7384615384615385,0.8328958904109589,1.4484990287225001,6.027397260273973,2.4201493827160494,2.89138294,0.08888888888888889,0.0,0.0,1.576271186440678,2.3489685185185185,2.910184673252698,0.0,0.0,0.8177150879432841
Receita com Premiação / Folha do Futebol,0.0,0.0,0.0,0.0,0.0,0.0,0.19708029197080293,0.2781954887218045,0.45505617977528096,0.0,0.0,0.0,0.0,0.09170305676855894,0.03061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25190839694656486,0.29589632829373647,0.5694760820045558,0.1105121293800539,0.0,0.0,0.32167832167832167,0.3421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1948529411764706,0.38277511961722493,0.1793478260869565,0.1403118040089087,0.19753086419753085,0.2602739726027397,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.21794871794871795,0.125,0.15584415584415584
Folha do futebol / Pontuação Série A,1.5333333333333334,0.0,0.0,6.8936170212765955,3.9040137931034486,6.323869840470473,3.261904761904762,2.4038603448275864,4.153578720851064,5.547169811320755,0.0,1.8363875609302327,0.0,4.529447169811321,3.749291270232558,6.571428571428571,4.209327692307692,4.076185817171825,2.148936170212766,0.0,0.0,3.8461538461538463,0.0,0.0,3.066666666666667,2.531260975609756,0.0,7.485714285714286,7.828433870967742,6.7811987456338025,8.065217391304348,3.084997142857143,1.9532509281174888,2.1029411764705883,2.1728400000000003,1.0080009889112183,5.886666666666666,3.3970588235294117,0.0,2.1315789473684212,0.0,0.0,4.184615384615385,3.0012972602739723,3.919467960072647,6.1506849315068495,5.2415,6.065257316666666,1.8,0.0,0.0,6.3559322033898304,5.163848148148149,3.218548612140401,0.0,0.0,1.9080018718676628
Rec Oper Líquida / Pontuação Série A,3.6666666666666665,0.0,0.0,13.340425531914894,6.072910344827585,9.73875955432453,10.714285714285714,9.279262413793104,8.143814458297873,5.150943396226415,0.0,2.5505382790697677,0.0,7.0216320754716985,3.62176435627907,19.267857142857142,13.515006153846155,9.214781767542691,3.7872340425531914,0.0,0.0,6.634615384615385,0.0,0.0,0.6,4.03979024390244,0.0,17.67142857142857,22.251012903225806,17.17697723267606,14.369565217391305,6.769022857142857,4.8303367546689255,3.411764705882353,4.63158,1.7640017305946316,13.177777777777777,6.235294117647059,0.0,1.8421052631578947,0.0,0.0,7.846153846153846,5.370742465753425,5.5383786392330885,16.527397260273972,10.858317283950617,13.144160376666667,3.0555555555555554,0.0,0.0,12.23728813559322,12.987272222222222,6.225097016295506,0.0,0.0,4.0390169495380395
Receita c/ Direitos de Transmissão,58.0,0.0,0.0,0.0,0.0,0.0,54.0,83.864,52.64311008,0.0,0.0,0.0,0.0,122.6511,94.86727129,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,341.74580000000003,293.92403128,126.0,0.0,0.0,72.0,84.58300000000001,42.832757820987965,173.0,0.0,0.0,0.0,69.11050000000002,84.405728647241,89.0,145.44150000000002,104.56232056300006,171.0,191.8389,184.25088528,0.0,0.0,0.0,0.0,0.0,154.20124219003202,95.0,30.945000000000004,122.1993384892892
Dívida,44.9,58.80962999999999,49.78150338418357,2144.0,1006.368,2015.5437955547493,251.0,288.2825,425.53180648,99.0,206.3,140.18239725,0.0,724.0,268.0,1652.0,620.9630000000001,403.13183831518086,244.0,234.8192,229.21687513999998,1169.0,681.8215,747.6394520000001,34.0,-7.3381,7.892189560907151,779.0,452.86560000000003,436.49912108,734.0,770.5005,815.9309822968625,179.0,105.8783,59.009294255398075,722.0,550.0,535.0,0.0,0.0,0.0,995.2,880.572,983.4882375899681,598.0,550.3575,341.08348406,13.0,30.82002,66.78006551536821,874.0,692.9263,706.6545114535327,0.0,746.3896,1012.628629814856
Dívida / EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dívida / Rec Oper Líquida,0.40818181818181815,0.0,0.0,3.419457735247209,2.8571428571428577,4.311688311688311,0.5577777777777778,0.5356447214647448,1.1117478510028653,0.3626373626373626,0.9068885283216936,1.2781834237708474,0.0,1.9454703994260325,1.7208624102585437,1.5310472659870251,0.7068644153268265,0.7812211953204512,1.3707865168539326,0.0,0.0,3.3884057971014494,2.8906971074861945,4.669163191856978,1.8888888888888888,-0.044303797468354424,0.3095238095238095,0.629749393694422,0.32826747720364746,0.3579136690647482,1.1104387291981845,1.6261061946902655,3.672131147540984,0.771551724137931,0.4156378600823045,0.631168831168831,1.2175379426644182,1.0683962264150944,1.5833333333333333,0.0,0.0,0.0,1.9513725490196079,2.245989304812834,3.1153846153846154,0.4956485702445089,0.6257449344457687,0.393173198482933,0.09454545454545454,0.0,0.0,1.2105263157894737,0.9880418535127056,1.801857585139319,0.0,2.063768115942029,5.116564417177914
Folha do futebol / Receita Operacional,0.41818181818181815,0.0,0.0,0.5167464114832536,0.6428571428571429,0.6493506493506492,0.30444444444444446,0.25905726529022205,0.5100286532951289,1.0769230769230769,0.8433179723502304,0.7200000000000001,0.0,0.6450704225352113,1.0352112676056338,0.0,0.3114558472553699,0.44235294117647056,0.5674157303370787,0.0,0.0,0.5797101449275363,0.4222222222222222,0.39041095890410965,0.0,0.0,0.0,0.423605497170574,0.35182370820668696,0.3947841726618705,0.5612708018154312,0.4557522123893806,0.40437158469945356,0.6163793103448276,0.46913580246913583,0.5714285714285715,0.44671163575042155,0.5448113207547169,0.4027777777777778,0.0,0.0,0.0,0.0,0.5588235294117646,0.7076923076923077,0.372150849564857,0.48271752085816455,0.461441213653603,0.5890909090909091,0.0,0.0,0.5193905817174516,0.3976083707025411,0.5170278637770898,0.5165562913907285,0.463768115942029,0.4723926380368098
Folha futebol + Compra jogadores / Rec Operacional,0.5181818181818182,0.0,0.0,0.8644338118022329,1.0833333333333335,1.0337662337662337,0.5311111111111111,0.3350214257888586,0.7822349570200573,2.043956043956044,1.1658986175115207,0.7200000000000001,0.0,0.8309859154929576,2.3450704225352106,0.0,0.3747016706443914,0.5905882352941175,0.6769662921348315,0.0,0.0,0.5797101449275363,0.8755555555555556,0.39041095890410965,0.0,0.0,0.0,0.7590945836701698,0.5592705167173253,0.6025179856115108,0.6717095310136157,0.4690265486725664,0.45027322404371584,0.6163793103448276,0.7777777777777778,0.6623376623376624,0.6659359190556492,0.6014150943396226,0.6319444444444444,0.0,0.0,0.0,0.0,0.7860962566844919,0.9230769230769231,0.6589307915457936,0.6615017878426699,0.5941845764854614,0.6072727272727273,0.0,0.0,0.6731301939058172,0.5127055306427505,0.8421052631578947,0.5165562913907285,0.918840579710145,0.4815950920245399
Folha do Futebol + Compra de Jogadores,57.0,0.0,0.0,542.0,381.5812,483.2448377293917,239.0,180.3076,299.40768858,558.0,265.2199,78.96466512,0.0,309.2485,365.21157617999995,576.0,329.1662,304.75993535195306,120.5,0.0,0.0,532.0,206.51510000000002,62.51369322,92.0,103.7817,24.283660187406618,939.0,771.5488,734.8100782,444.0,222.2396,100.04867997211527,143.0,198.1287,61.923333477886885,394.9,227.0,182.0,83.0,0.0,0.0,460.0,308.2002,291.40392224887944,795.0,581.8065,515.4637862,83.6,0.0,0.0,486.0,359.56690000000003,330.25777854873,234.0,332.3111,95.31336623557098
